wordLearning.exposure.itemIdx,wordLearning.exposure.pass,wordLearning.exposure.image,wordLearning.exposure.audio,wordLearning.test.started,wordLearning.test.targetIdx,wordLearning.test.targetImage,wordLearning.test.optionOrder,wordLearning.test.responseIdx,wordLearning.test.correct,wordLearning.test.streakAfter,wordLearning.test.masteredSnapshot,passiveTrial.started,passive.sessionIndex,passive.movie,passive.sound,passiveTrial.stopped,passiveSelfPaceKey.keys,passiveSelfPaceKey.rt,passiveSelfPaceKey.duration,passiveTrials_s1.thisRepN,passiveTrials_s1.thisTrialN,passiveTrials_s1.thisN,passiveTrials_s1.thisIndex,passiveTrials_s1.ran,sessionIndex,passiveMovie,passiveSound,participant,születési dátum (ÉÉÉÉ.HH.NN),date,expName,psychopyVersion,OS,frameRate
0,2,Aa-1.png,Aa.mp3,549.878,4,N3.png,"1,4,3,5",4,1,5,1111111,563.573,1,SBJ-N3-REVEAL-INTR.mp4,SBJ-N3-REVEAL-INTR.mp3,569.649,mouse_continue,6.081,,0,0,0,0,1,1,SBJ-N3-REVEAL-INTR.mp4,SBJ-N3-REVEAL-INTR.mp3,ALP1124,1999.08.19,2026-05-05_13h07.44.398,BrocantoHPilot1WOSession1,2025.2.4,MacIntel,62.5
,,,,,,,,,,,,569.653,1,OBJ-N5-SBJ-N4-PUSH-TR.mp4,OBJ-N5-SBJ-N4-PUSH-TR.mp3,576.265,mouse_continue,6.613,,0,1,1,1,1,1,OBJ-N5-SBJ-N4-PUSH-TR.mp4,OBJ-N5-SBJ-N4-PUSH-TR.mp3,ALP1124,1999.08.19,2026-05-05_13h07.44.398,BrocantoHPilot1WOSession1,2025.2.4,MacIntel,62.5
,,,,,,,,,,,,576.268,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-SBJ-N1-HIDE-TR.mp3,581.832,mouse_continue,5.564,,0,2,2,2,1,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-SBJ-N1-HIDE-TR.mp3,ALP1124,1999.08.19,2026-05-05_13h07.44.398,BrocantoHPilot1WOSession1,2025.2.4,MacIntel,62.5
,,,,,,,,,,,,581.834,1,SBJ-N1-HIDE-INTR.mp4,SBJ-N1-HIDE-INTR.mp3,588.082,mouse_continue,6.248,,0,3,3,3,1,1,SBJ-N1-HIDE-INTR.mp4,SBJ-N1-HIDE-INTR.mp3,ALP1124,1999.08.19,2026-05-05_13h07.44.398,BrocantoHPilot1WOSession1,2025.2.4,MacIntel,62.5
,,,,,,,,,,,,588.085,1,SBJ-N2-REVEAL-INTR.mp4,SBJ-N2-REVEAL-INTR.mp3,593.765,mouse_continue,5.681,,0,4,4,4,1,1,SBJ-N2-REVEAL-INTR.mp4,SBJ-N2-REVEAL-INTR.mp3,ALP1124,1999.08.19,2026-05-05_13h07.44.398,BrocantoHPilot1WOSession1,2025.2.4,MacIntel,62.5
,,,,,,,,,,,,593.768,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,599.4,mouse_continue,5.632,,0,5,5,5,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,ALP1124,1999.08.19,2026-05-05_13h07.44.398,BrocantoHPilot1WOSession1,2025.2.4,MacIntel,62.5
,,,,,,,,,,,,599.404,1,SBJ-N2-GO-INTR.mp4,SBJ-N2-GO-INTR.mp3,604.948,mouse_continue,5.546,,0,6,6,6,1,1,SBJ-N2-GO-INTR.mp4,SBJ-N2-GO-INTR.mp3,ALP1124,1999.08.19,2026-05-05_13h07.44.398,BrocantoHPilot1WOSession1,2025.2.4,MacIntel,62.5
,,,,,,,,,,,,604.951,1,OBJ-N5-SBJ-N1-PUSH-TR.mp4,OBJ-N5-SBJ-N1-PUSH-TR.mp3,611.066,mouse_continue,6.115,,0,7,7,7,1,1,OBJ-N5-SBJ-N1-PUSH-TR.mp4,OBJ-N5-SBJ-N1-PUSH-TR.mp3,ALP1124,1999.08.19,2026-05-05_13h07.44.398,BrocantoHPilot1WOSession1,2025.2.4,MacIntel,62.5
,,,,,,,,,,,,611.068,1,SBJ-N1-JUMP-INTR.mp4,SBJ-N1-JUMP-INTR.mp3,616.999,mouse_continue,5.931,,0,8,8,8,1,1,SBJ-N1-JUMP-INTR.mp4,SBJ-N1-JUMP-INTR.mp3,ALP1124,1999.08.19,2026-05-05_13h07.44.398,BrocantoHPilot1WOSession1,2025.2.4,MacIntel,62.5
,,,,,,,,,,,,617.001,1,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,OBJ-N5-SBJ-N2-REVEAL-TR.mp3,622.432,mouse_continue,5.431,,0,9,9,9,1,1,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,OBJ-N5-SBJ-N2-REVEAL-TR.mp3,ALP1124,1999.08.19,2026-05-05_13h07.44.398,BrocantoHPilot1WOSession1,2025.2.4,MacIntel,62.5
,,,,,,,,,,,,622.435,1,OBJ-N5-SBJ-N2-HIDE-TR.mp4,OBJ-N5-SBJ-N2-HIDE-TR.mp3,627.915,mouse_continue,5.481,,0,10,10,10,1,1,OBJ-N5-SBJ-N2-HIDE-TR.mp4,OBJ-N5-SBJ-N2-HIDE-TR.mp3,ALP1124,1999.08.19,2026-05-05_13h07.44.398,BrocantoHPilot1WOSession1,2025.2.4,MacIntel,62.5
,,,,,,,,,,,,627.918,1,SBJ-N2-JUMP-INTR.mp4,SBJ-N2-JUMP-INTR.mp3,633.264,mouse_continue,5.347,,0,11,11,11,1,1,SBJ-N2-JUMP-INTR.mp4,SBJ-N2-JUMP-INTR.mp3,ALP1124,1999.08.19,2026-05-05_13h07.44.398,BrocantoHPilot1WOSession1,2025.2.4,MacIntel,62.5
,,,,,,,,,,,,633.267,1,SBJ-N5-HIDE-INTR.mp4,SBJ-N5-HIDE-INTR.mp3,639.698,mouse_continue,6.432,,0,12,12,12,1,1,SBJ-N5-HIDE-INTR.mp4,SBJ-N5-HIDE-INTR.mp3,ALP1124,1999.08.19,2026-05-05_13h07.44.398,BrocantoHPilot1WOSession1,2025.2.4,MacIntel,62.5
,,,,,,,,,,,,639.7,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,645.449,mouse_continue,5.748,,0,13,13,13,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,ALP1124,1999.08.19,2026-05-05_13h07.44.398,BrocantoHPilot1WOSession1,2025.2.4,MacIntel,62.5
,,,,,,,,,,,,645.452,1,SBJ-N2-GO-INTR.mp4,SBJ-N2-GO-INTR.mp3,651.015,mouse_continue,5.562,,0,14,14,14,1,1,SBJ-N2-GO-INTR.mp4,SBJ-N2-GO-INTR.mp3,ALP1124,1999.08.19,2026-05-05_13h07.44.398,BrocantoHPilot1WOSession1,2025.2.4,MacIntel,62.5
