wordLearning.exposure.itemIdx,wordLearning.exposure.pass,wordLearning.exposure.image,wordLearning.exposure.audio,wordLearning.test.started,wordLearning.test.targetIdx,wordLearning.test.targetImage,wordLearning.test.optionOrder,wordLearning.test.responseIdx,wordLearning.test.correct,wordLearning.test.streakAfter,wordLearning.test.masteredSnapshot,passiveTrial.started,passive.sessionIndex,passive.movie,passive.sound,passiveTrial.stopped,passiveSelfPaceKey.keys,passiveSelfPaceKey.rt,passiveSelfPaceKey.duration,passiveTrials_s1.thisRepN,passiveTrials_s1.thisTrialN,passiveTrials_s1.thisN,passiveTrials_s1.thisIndex,passiveTrials_s1.ran,sessionIndex,passiveMovie,passiveSound,participant,születési dátum (ÉÉÉÉ.HH.NN),date,expName,psychopyVersion,OS,frameRate
6,2,Ab-N5.png,N5.mp3,386.717,5,Ab-N4.png,"4,5,3,6",5,1,5,1111111,449.299,1,SBJ-N3-REVEAL-INTR.mp4,SBJ-N3-REVEAL-INTR.mp3,459.741,mouse_continue,10.445,,0,0,0,0,1,1,SBJ-N3-REVEAL-INTR.mp4,SBJ-N3-REVEAL-INTR.mp3,ALP1111,1993.09.02,2026-04-28_20h32.17.000,BrocantoHPilot1WOSession1,2025.2.4,Win32,59.95203837
,,,,,,,,,,,,459.743,1,OBJ-N5-SBJ-N4-PUSH-TR.mp4,OBJ-N5-SBJ-N4-PUSH-TR.mp3,468.029,mouse_continue,8.286,,0,1,1,1,1,1,OBJ-N5-SBJ-N4-PUSH-TR.mp4,OBJ-N5-SBJ-N4-PUSH-TR.mp3,ALP1111,1993.09.02,2026-04-28_20h32.17.000,BrocantoHPilot1WOSession1,2025.2.4,Win32,59.95203837
,,,,,,,,,,,,468.033,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-SBJ-N1-HIDE-TR.mp3,476.723,mouse_continue,8.689,,0,2,2,2,1,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-SBJ-N1-HIDE-TR.mp3,ALP1111,1993.09.02,2026-04-28_20h32.17.000,BrocantoHPilot1WOSession1,2025.2.4,Win32,59.95203837
,,,,,,,,,,,,476.727,1,SBJ-N1-HIDE-INTR.mp4,SBJ-N1-HIDE-INTR.mp3,484.19,mouse_continue,7.464,,0,3,3,3,1,1,SBJ-N1-HIDE-INTR.mp4,SBJ-N1-HIDE-INTR.mp3,ALP1111,1993.09.02,2026-04-28_20h32.17.000,BrocantoHPilot1WOSession1,2025.2.4,Win32,59.95203837
,,,,,,,,,,,,484.194,1,SBJ-N2-REVEAL-INTR.mp4,SBJ-N2-REVEAL-INTR.mp3,490.471,mouse_continue,6.278,,0,4,4,4,1,1,SBJ-N2-REVEAL-INTR.mp4,SBJ-N2-REVEAL-INTR.mp3,ALP1111,1993.09.02,2026-04-28_20h32.17.000,BrocantoHPilot1WOSession1,2025.2.4,Win32,59.95203837
,,,,,,,,,,,,490.475,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,508.158,mouse_continue,17.683,,0,5,5,5,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,ALP1111,1993.09.02,2026-04-28_20h32.17.000,BrocantoHPilot1WOSession1,2025.2.4,Win32,59.95203837
,,,,,,,,,,,,508.164,1,SBJ-N2-GO-INTR.mp4,SBJ-N2-GO-INTR.mp3,514.618,mouse_continue,6.455,,0,6,6,6,1,1,SBJ-N2-GO-INTR.mp4,SBJ-N2-GO-INTR.mp3,ALP1111,1993.09.02,2026-04-28_20h32.17.000,BrocantoHPilot1WOSession1,2025.2.4,Win32,59.95203837
,,,,,,,,,,,,514.621,1,OBJ-N5-SBJ-N1-PUSH-TR.mp4,OBJ-N5-SBJ-N1-PUSH-TR.mp3,525.822,mouse_continue,11.203,,0,7,7,7,1,1,OBJ-N5-SBJ-N1-PUSH-TR.mp4,OBJ-N5-SBJ-N1-PUSH-TR.mp3,ALP1111,1993.09.02,2026-04-28_20h32.17.000,BrocantoHPilot1WOSession1,2025.2.4,Win32,59.95203837
,,,,,,,,,,,,525.824,1,SBJ-N1-JUMP-INTR.mp4,SBJ-N1-JUMP-INTR.mp3,534.103,mouse_continue,8.279,,0,8,8,8,1,1,SBJ-N1-JUMP-INTR.mp4,SBJ-N1-JUMP-INTR.mp3,ALP1111,1993.09.02,2026-04-28_20h32.17.000,BrocantoHPilot1WOSession1,2025.2.4,Win32,59.95203837
,,,,,,,,,,,,534.105,1,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,OBJ-N5-SBJ-N2-REVEAL-TR.mp3,557.773,mouse_continue,23.668,,0,9,9,9,1,1,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,OBJ-N5-SBJ-N2-REVEAL-TR.mp3,ALP1111,1993.09.02,2026-04-28_20h32.17.000,BrocantoHPilot1WOSession1,2025.2.4,Win32,59.95203837
,,,,,,,,,,,,557.778,1,OBJ-N5-SBJ-N2-HIDE-TR.mp4,OBJ-N5-SBJ-N2-HIDE-TR.mp3,575.036,mouse_continue,17.259,,0,10,10,10,1,1,OBJ-N5-SBJ-N2-HIDE-TR.mp4,OBJ-N5-SBJ-N2-HIDE-TR.mp3,ALP1111,1993.09.02,2026-04-28_20h32.17.000,BrocantoHPilot1WOSession1,2025.2.4,Win32,59.95203837
,,,,,,,,,,,,575.04,1,SBJ-N2-JUMP-INTR.mp4,SBJ-N2-JUMP-INTR.mp3,580.789,mouse_continue,5.749,,0,11,11,11,1,1,SBJ-N2-JUMP-INTR.mp4,SBJ-N2-JUMP-INTR.mp3,ALP1111,1993.09.02,2026-04-28_20h32.17.000,BrocantoHPilot1WOSession1,2025.2.4,Win32,59.95203837
,,,,,,,,,,,,580.792,1,SBJ-N5-HIDE-INTR.mp4,SBJ-N5-HIDE-INTR.mp3,586.819,mouse_continue,6.028,,0,12,12,12,1,1,SBJ-N5-HIDE-INTR.mp4,SBJ-N5-HIDE-INTR.mp3,ALP1111,1993.09.02,2026-04-28_20h32.17.000,BrocantoHPilot1WOSession1,2025.2.4,Win32,59.95203837
,,,,,,,,,,,,586.821,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,597.56,mouse_continue,10.74,,0,13,13,13,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,ALP1111,1993.09.02,2026-04-28_20h32.17.000,BrocantoHPilot1WOSession1,2025.2.4,Win32,59.95203837
,,,,,,,,,,,,597.563,1,SBJ-N2-GO-INTR.mp4,SBJ-N2-GO-INTR.mp3,604.122,mouse_continue,6.559,,0,14,14,14,1,1,SBJ-N2-GO-INTR.mp4,SBJ-N2-GO-INTR.mp3,ALP1111,1993.09.02,2026-04-28_20h32.17.000,BrocantoHPilot1WOSession1,2025.2.4,Win32,59.95203837
,,,,,,,,,,,,604.123,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,OBJ-N5-SBJ-N2-PUSH-TR.mp3,613.153,mouse_continue,9.029,,0,15,15,15,1,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,OBJ-N5-SBJ-N2-PUSH-TR.mp3,ALP1111,1993.09.02,2026-04-28_20h32.17.000,BrocantoHPilot1WOSession1,2025.2.4,Win32,59.95203837
,,,,,,,,,,,,613.157,1,SBJ-N5-REVEAL-INTR.mp4,SBJ-N5-REVEAL-INTR.mp3,619.358,mouse_continue,6.2,,0,16,16,16,1,1,SBJ-N5-REVEAL-INTR.mp4,SBJ-N5-REVEAL-INTR.mp3,ALP1111,1993.09.02,2026-04-28_20h32.17.000,BrocantoHPilot1WOSession1,2025.2.4,Win32,59.95203837
,,,,,,,,,,,,619.361,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,OBJ-N5-SBJ-N4-HIDE-TR.mp3,625.103,mouse_continue,5.745,,0,17,17,17,1,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,OBJ-N5-SBJ-N4-HIDE-TR.mp3,ALP1111,1993.09.02,2026-04-28_20h32.17.000,BrocantoHPilot1WOSession1,2025.2.4,Win32,59.95203837
