participant,participant_unique_id,birth_date,date,experiment_name,session,loop,trial_id_global,running_index,task_type,trial_type,legality,sentence_complexity,target_sentence,foil_sentence,sentence_frame,foil_sentence_frame,previous_encounters,target_video,foil_video,audio,t_start,t_end,reaction_time,correct_response,response,accuracy
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,19,19,Passive,,legal,1,SBJ.N2 GO-INTR,,SBJ-V.INTR,,2,SBJ-N2-GO-INTR.mp4,,GO-INTR-SBJ-N2.mp3,870.4574,881.7916,11.33420000000001,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,20,20,Passive,,legal,1,SBJ.N1 REVEAL-INTR,,SBJ-V.INTR,,0,SBJ-N1-REVEAL-INTR.mp4,,REVEAL-INTR-SBJ-N1.mp3,881.7927,930.3848,48.59210000000007,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,21,21,Passive,,legal,2,OBJ.N5 SBJ.N1 REVEAL-TR,,OBJ-SBJ-V.TR,,0,OBJ-N5-SBJ-N1-REVEAL-TR.mp4,,REVEAL-TR-SBJ-N1-OBJ-N5.mp3,930.3859,948.5836,18.197700000000054,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,22,22,Passive,,legal,2,OBJ.N5 SBJ.N1 REVEAL-TR,,OBJ-SBJ-V.TR,,1,OBJ-N5-SBJ-N1-REVEAL-TR.mp4,,REVEAL-TR-SBJ-N1-OBJ-N5.mp3,948.5847,980.1046,31.519900000000007,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,23,23,Passive,,legal,3,OBJ.N5 SBJ.N2 PUSH-TR LOC.N1,,OBJ-SBJ-V.TR-LOC,,0,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N1.mp4,,OBJ-N5-SBJ-N2-LOC-N1-PUSH-TR.mp3,980.1062,989.1317,9.02550000000008,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,24,24,Passive,,legal,2,SBJ.N4 REVEAL-INTR LOC.N3,,SBJ-V.INTR-LOC,,0,SBJ-N4-REVEAL-INTR-LOC-N3.mp4,,SBJ-N4-REVEAL-INTR-LOC-N3.mp3,989.1351,1008.8701,19.735000000000014,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,25,25,Passive,,legal,3,OBJ.N5 SBJ.N1 HIDE-TR LOC.N2,,OBJ-SBJ-V.TR-LOC,,0,OBJ-N5-SBJ-N1-HIDE-TR-LOC-N2.mp4,,SBJ-N1-LOC-N2-HIDE-TR-OBJ-N5.mp3,1008.8714,1022.7529,13.88149999999996,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,26,26,Passive,,legal,2,SBJ.N4 REVEAL-INTR LOC.N3,,SBJ-V.INTR-LOC,,1,SBJ-N4-REVEAL-INTR-LOC-N3.mp4,,SBJ-N4-REVEAL-INTR-LOC-N3.mp3,1022.7546,1033.8853,11.130699999999933,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,27,27,Passive,,legal,3,OBJ.N5 SBJ.N4 REVEAL-TR LOC.N1,,OBJ-SBJ-V.TR-LOC,,0,OBJ-N5-SBJ-N4-REVEAL-TR-LOC-N1.mp4,,OBJ-N5-LOC-N1-REVEAL-TR-SBJ-N4.mp3,1033.8864,1068.1316,34.24519999999984,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,28,28,Passive,,legal,2,SBJ.N5 REVEAL-INTR LOC.N3,,SBJ-V.INTR-LOC,,0,SBJ-N5-REVEAL-INTR-LOC-N3.mp4,,SBJ-N5-REVEAL-INTR-LOC-N3.mp3,1068.1333,1083.3754,15.242099999999937,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,29,29,Passive,,legal,3,OBJ.N5 SBJ.N3 HIDE-TR LOC.N4,,OBJ-SBJ-V.TR-LOC,,0,OBJ-N5-SBJ-N3-HIDE-TR-LOC-N4.mp4,,OBJ-N5-SBJ-N3-HIDE-TR-LOC-N4.mp3,1083.3777,1093.7812,10.403499999999894,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,30,30,Passive,,legal,3,OBJ.N5 SBJ.N1 REVEAL-TR LOC.N2,,OBJ-SBJ-V.TR-LOC,,0,OBJ-N5-SBJ-N1-REVEAL-TR-LOC-N2.mp4,,SBJ-N1-LOC-N2-REVEAL-TR-OBJ-N5.mp3,1093.7825,1119.4131,25.63059999999996,,,
